from,to,weight,type
DRYAD,LTER,9,download
DRYAD,KNB,7,download
LTER,NCEI,5,download
KNB,mnUCSB1,5,download
KNB,LTER,3,download
GOA,KNB,3,download
DRYAD,NCEI,3,download
LTER,PISCO,2,download
GLEON,LTER,2,download
GLEON,KNB,2,download
DRYAD,PISCO,2,download
GOA,LTER,2,download
DRYAD,RGD,1,download
BCODMO,IARC,1,download
KNB,NCEI,1,download
NCEI,PISCO,1,download
NCEI,TDAR,1,download
EDI,LTER,1,download
GOA,NCEI,1,download
TDAR,US_MPC,1,download
DRYAD,PPBIO,1,download
ESA,ONEShare,1,download
DRYAD,EDORA,1,download
KNB,US_MPC,1,download
DRYAD,ONEShare,1,download
DRYAD,R2R,1,download
IARC,US_MPC,1,download
mnUCSB1,US_MPC,1,download
KNB,mnORC1,1,download
